,,,,,%Perm vs. DC Sat. Coef.,,,,Core Loss Coefficients,,,,%Perm. vs. AC Flux Density Coefficients,,,,,,Perm vs. Frequency Coefficients,,,,B vs H Coefficients,,,,,,T expressed in Celsius,,,
MS,EQ,40,8288,5.1,1.000E-02,1.581E-06,1.763E+00,0.000E+00,1.000E+06,4.962E+08,8.098E+06,8.549E-15,1.977E+03,5.791E-01,1.178E+00,2.180E+09,-1.813E+00,1.053E+02,2.500E-02,3.017E-11,1.170E+00,0.000E+00,3.883E-03,2.123E+00,2.003E+09,1.000E-08,2.072E+02,-0.7526241,-5.55E-03,6.23E-02,1.83E-04,-1.26E-03
MS,EQ,60,8426,5.2,1.000E-02,6.470E-06,1.590E+00,0.000E+00,1.000E+06,7.118E+08,7.401E+06,1.301E-14,1.977E+03,5.791E-01,1.178E+00,2.180E+09,-1.813E+00,1.053E+02,1.667E-02,3.017E-11,1.170E+00,0.000E+00,8.848E-03,1.991E+00,2.003E+09,1.000E-08,1.404E+02,-0.9409393,-5.55E-03,7.79E-02,1.83E-04,-1.58E-03
MS,PQ,26,8086,4.9,1.000E-02,1.443E-06,1.629E+00,0.000E+00,1.000E+06,2.690E+08,3.455E+06,1.045E-14,7.559E+03,6.715E-01,1.571E+00,3.182E+09,-1.794E+00,1.013E+02,3.846E-02,3.017E-11,1.170E+00,0.000E+00,1.922E-03,2.181E+00,2.003E+09,1.000E-08,3.110E+02,-0.6170095,-5.55E-03,5.11E-02,1.83E-04,-1.04E-03
MS,PQ,40,8288,5.1,1.000E-02,3.388E-06,1.637E+00,0.000E+00,1.000E+06,4.723E+08,4.593E+06,1.095E-14,1.977E+03,5.791E-01,1.178E+00,2.180E+09,-1.813E+00,1.053E+02,2.500E-02,3.017E-11,1.170E+00,0.000E+00,3.883E-03,2.123E+00,2.003E+09,1.000E-08,2.072E+02,-0.7526241,-5.55E-03,6.23E-02,1.83E-04,-1.26E-03
MS,PQ,60,8426,5.2,1.000E-02,1.411E-05,1.476E+00,0.000E+00,1.000E+06,4.562E+08,4.819E+06,1.611E-14,1.977E+03,5.791E-01,1.178E+00,2.180E+09,-1.813E+00,1.053E+02,1.667E-02,3.017E-11,1.170E+00,0.000E+00,8.848E-03,1.991E+00,2.003E+09,1.000E-08,1.404E+02,-0.9409393,-5.55E-03,7.79E-02,1.83E-04,-1.58E-03
MS,T,14,7884,4.9,1.000E-02,9.443E-07,1.533E+00,0.000E+00,1.000E+06,1.814E+08,3.377E+06,2.628E-14,3.000E+02,5.905E-01,2.738E-01,3.576E+08,-1.544E+00,1.500E+02,7.143E-02,3.017E-11,1.170E+00,0.000E+00,7.276E-04,2.222E+00,2.003E+09,1.000E-08,5.631E+02,-0.5095918,-5.55E-03,4.21E-02,1.83E-04,-8.53E-04
MS,T(OD=5.22-7.75 in),14,7884,4.9,1.000E-02,1.065E-06,1.553E+00,0.000E+00,1.000E+06,2.035E+08,3.969E+06,3.473E-14,3.000E+02,5.905E-01,2.738E-01,3.576E+08,-1.544E+00,1.500E+02,7.143E-02,3.017E-11,1.170E+00,0.000E+00,7.276E-04,2.222E+00,2.003E+09,1.000E-08,5.631E+02,-0.5095918,-5.55E-03,4.21E-02,1.83E-04,-8.53E-04
MS,T,26,8086,5.1,1.000E-02,2.061E-07,1.995E+00,0.000E+00,1.000E+06,4.969E+08,3.993E+06,2.867E-14,7.559E+03,6.715E-01,1.571E+00,3.182E+09,-1.794E+00,1.013E+02,3.846E-02,3.017E-11,1.170E+00,0.000E+00,1.922E-03,2.181E+00,2.003E+09,1.000E-08,3.110E+02,-0.6170095,-5.55E-03,5.11E-02,1.83E-04,-1.04E-03
MS,T(OD=5.22-7.75 in),26,7930,4.9,1.000E-02,4.158E-06,1.508E+00,0.000E+00,1.000E+06,3.991E+08,2.565E+06,3.320E-14,7.559E+03,6.715E-01,1.571E+00,3.182E+09,-1.794E+00,1.013E+02,3.846E-02,3.017E-11,1.170E+00,0.000E+00,1.922E-03,2.181E+00,2.003E+09,1.000E-08,3.050E+02,-0.6170095,-5.55E-03,5.11E-02,1.83E-04,-1.04E-03
MS,T,40,8463,5.5,1.000E-02,2.655E-06,1.703E+00,0.000E+00,1.000E+06,6.961E+08,5.397E+06,4.127E-14,1.977E+03,5.791E-01,1.178E+00,2.180E+09,-1.813E+00,1.053E+02,2.500E-02,3.017E-11,1.170E+00,0.000E+00,3.883E-03,2.123E+00,2.003E+09,1.000E-08,2.116E+02,-0.7526241,-5.55E-03,6.23E-02,1.83E-04,-1.26E-03
MS,T,60,8801,5.8,1.000E-02,2.151E-06,1.841E+00,0.000E+00,7.890E+09,7.111E+08,8.980E+06,2.846E-14,1.977E+03,5.791E-01,1.178E+00,2.180E+09,-1.813E+00,1.053E+02,1.667E-02,3.017E-11,1.170E+00,0.000E+00,8.848E-03,1.991E+00,2.003E+09,1.000E-08,1.467E+02,-0.9409393,-5.55E-03,7.79E-02,1.83E-04,-1.58E-03
MS,T,75,8872,5.9,1.000E-02,3.414E-06,1.841E+00,0.000E+00,7.890E+09,7.111E+08,8.980E+06,2.846E-14,1.901E+03,5.824E-01,1.265E+00,2.650E+09,-1.850E+00,1.056E+02,1.333E-02,3.017E-11,1.170E+00,0.000E+00,1.374E-02,1.927E+00,2.003E+09,1.000E-08,1.183E+02,-1.079766,-5.55E-03,8.94E-02,1.83E-04,-1.81E-03
MS,T,90,8923,5.9,1.000E-02,3.994E-06,1.883E+00,0.000E+00,7.890E+09,7.111E+08,8.980E+06,2.846E-14,1.825E+03,5.854E-01,1.349E+00,3.314E+09,-1.894E+00,1.058E+02,1.111E-02,3.017E-11,1.170E+00,0.000E+00,2.048E-02,1.850E+00,2.003E+09,1.000E-08,9.914E+01,-1.21859,-5.55E-03,0.1009266,1.83E-04,-2.05E-03
MS,T(OD=5.22-6.00 in),90,8923,5.9,1.000E-02,4.807E-05,1.349E+00,0.000E+00,7.890E+09,7.111E+08,8.980E+06,2.846E-14,1.825E+03,5.854E-01,1.349E+00,3.314E+09,-1.894E+00,1.058E+02,1.111E-02,3.017E-11,1.170E+00,0.000E+00,2.048E-02,1.850E+00,2.003E+09,1.000E-08,9.914E+01,-1.21859,-5.55E-03,0.1009266,1.83E-04,-2.05E-03
MS,T,125,8923,5.9,1.000E-02,7.884E-06,1.883E+00,0.000E+00,1.394E+10,1.034E+09,1.244E+07,4.007E-14,1.764E+03,5.859E-01,1.386E+00,4.067E+09,-1.914E+00,1.060E+02,8.000E-03,3.017E-11,1.170E+00,0.000E+00,2.911E-02,1.834E+00,2.003E+09,1.000E-08,7.138E+01,-1.542522,-5.55E-03,0.1277557,1.83E-04,-0.0025892
MS,T(OD=5.22-6.00 in),125,8923,5.9,1.000E-02,3.798E-05,1.548E+00,0.000E+00,1.394E+10,1.034E+09,1.244E+07,4.007E-14,1.764E+03,5.859E-01,1.386E+00,4.067E+09,-1.914E+00,1.060E+02,8.000E-03,3.017E-11,1.170E+00,0.000E+00,2.911E-02,1.834E+00,2.003E+09,1.000E-08,7.138E+01,-1.542522,-5.55E-03,0.1277557,1.83E-04,-2.59E-03
MS,T,147,8923,5.9,1.000E-02,4.732E-05,1.539E+00,0.000E+00,1.394E+10,1.034E+09,1.244E+07,4.007E-14,1.764E+03,5.859E-01,1.386E+00,4.067E+09,-1.914E+00,1.060E+02,6.803E-03,3.017E-11,1.170E+00,0.000E+00,2.841E-02,1.909E+00,2.003E+09,1.083E-08,6.070E+01,-2.08235,-5.55E-03,0.1724723,1.83E-04,-3.50E-03
MS,T,160,8923,5.9,1.000E-02,4.439E-05,1.627E+00,0.000E+00,1.394E+10,1.034E+09,1.244E+07,4.007E-14,1.764E+03,5.859E-01,1.386E+00,4.067E+09,-1.914E+00,1.060E+02,6.250E-03,3.017E-11,1.170E+00,0.000E+00,3.068E-02,1.909E+00,2.003E+09,1.000E-08,5.577E+01,-2.776516,-5.55E-03,2.30E-01,1.83E-04,-4.66E-03
SH,T,10,8086,4.3,1.000E-02,2.795E-07,1.676E+00,0.000E+00,1.000E+06,4.982E+07,1.506E+06,1.346E-14,7.559E+03,6.715E-01,1.571E+00,3.182E+09,-1.794E+00,1.013E+02,3.846E-02,1.010E-11,1.170E+00,0.000E+00,1.922E-03,2.181E+00,2.003E+09,1.000E-08,3.110E+02,-0.6170095,-5.55E-03,5.11E-02,1.83E-04,-1.04E-03
SH,T,26,8175,5.2,1.000E-02,1.042E-06,1.701E+00,0.000E+00,1.000E+06,3.287E+08,5.779E+06,1.240E-14,7.559E+03,6.715E-01,1.571E+00,3.182E+09,-1.794E+00,1.013E+02,3.846E-02,1.010E-11,1.170E+00,0.000E+00,6.240E-04,2.433E+00,2.003E+09,1.000E-08,3.144E+02,-0.6170095,-5.55E-03,5.11E-02,1.83E-04,-1.04E-03
SH,T,60,8605,5.6,1.000E-02,7.724E-06,1.612E+00,0.000E+00,1.000E+06,8.801E+08,5.421E+06,1.033E-14,1.977E+03,5.791E-01,1.178E+00,2.180E+09,-1.813E+00,1.053E+02,1.667E-02,1.010E-11,1.170E+00,0.000E+00,6.872E-03,2.081E+00,2.003E+09,1.000E-08,1.434E+02,-0.9409393,-5.55E-03,7.79E-02,1.83E-04,-1.58E-03
SH,T,125,8740,5.7,1.000E-02,3.265E-05,1.587E+00,0.000E+00,7.985E+09,1.378E+09,4.041E+06,7.891E-15,1.764E+03,5.859E-01,1.386E+00,4.067E+09,-1.914E+00,1.060E+02,8.000E-03,1.010E-11,1.170E+00,0.000E+00,2.911E-02,1.834E+00,2.003E+09,1.000E-08,6.992E+01,-1.542522,-5.55E-03,1.28E-01,1.83E-04,-2.59E-03
SM,T,26,8874,5.9,1.000E-02,6.874E-08,2.019E+00,0.000E+00,1.000E+06,3.609E+08,6.007E+06,1.919E-14,7.559E+03,6.715E-01,1.571E+00,3.182E+09,-1.794E+00,1.013E+02,3.846E-02,3.017E-11,1.170E+00,0.000E+00,1.922E-03,2.181E+00,2.003E+09,1.000E-08,3.413E+02,-0.6170095,-5.55E-03,5.11E-02,1.83E-04,-1.04E-03
SM,T,40,9076,6.1,1.000E-02,5.749E-07,1.867E+00,0.000E+00,1.000E+06,7.974E+08,9.213E+06,1.201E-14,1.977E+03,5.791E-01,1.178E+00,2.180E+09,-1.813E+00,1.053E+02,2.500E-02,3.017E-11,1.170E+00,0.000E+00,3.883E-03,2.123E+00,2.003E+09,1.000E-08,2.269E+02,-0.7526241,-5.55E-03,6.23E-02,1.83E-04,-1.26E-03
SM,T,60,9625,6.6,1.000E-02,9.058E-07,1.903E+00,0.000E+00,1.000E+06,9.109E+08,1.221E+07,1.096E-14,1.977E+03,5.791E-01,1.178E+00,2.180E+09,-1.813E+00,1.053E+02,1.667E-02,3.017E-11,1.170E+00,0.000E+00,4.598E-03,2.138E+00,2.003E+09,1.022E-08,1.604E+02,-0.9409393,-5.55E-03,7.79E-02,1.83E-04,-1.58E-03
GX,T,60,15095,7.6,1.000E-02,3.174E-08,2.441E+00,0.000E+00,7.314E+06,1.490E+09,2.002E+06,6.519E-15,6.312E+02,2.667E-01,1.103E+00,9.536E+07,-1.400E+00,1.188E+02,1.667E-02,2.636E-09,9.604E-01,0.000E+00,1.236E-02,1.854E+00,6.374E+07,1.000E-08,2.516E+02,142,,,,
GX,T,125,15241,7.8,1.000E-02,4.576E-07,2.259E+00,0.000E+00,5.039E+10,1.465E+09,3.165E+06,2.930E-14,1.346E+03,2.608E-02,1.853E+00,1.596E+11,-2.190E+00,1.080E+02,8.000E-03,2.636E-09,9.604E-01,0.000E+00,2.685E-02,1.792E+00,6.374E+07,1.000E-08,1.219E+02,252,,,,
HF,EQ,26,13452,5.9,1.000E-02,7.681E-07,1.548E+00,0.000E+00,1.000E+06,1.989E+08,3.057E+06,3.836E-14,2.101E+03,3.772E-02,1.862E+00,5.869E+11,-2.339E+00,1.050E+02,3.846E-02,2.636E-09,9.604E-01,0.000E+00,3.839E-03,1.947E+00,6.374E+07,1.000E-08,5.174E+02,85,,,,
HF,EQ,40,13824,6.7,1.000E-02,7.205E-07,1.635E+00,0.000E+00,1.000E+06,4.142E+08,3.703E+06,4.210E-14,5.873E+02,3.622E-01,1.073E+00,1.217E+10,-1.934E+00,1.205E+02,2.500E-02,1.025E-10,1.078E+00,0.000E+00,1.736E-02,1.716E+00,9.614E+01,7.162E-01,3.456E+02,105,,,,
HF,EQ,60,14162,6.7,1.000E-02,2.637E-06,1.639E+00,0.000E+00,8.195E+08,7.405E+08,2.965E+06,3.593E-14,6.312E+02,2.667E-01,1.103E+00,9.536E+07,-1.400E+00,1.188E+02,1.667E-02,2.636E-09,9.604E-01,0.000E+00,1.236E-02,1.854E+00,6.374E+07,1.000E-08,2.360E+02,142,,,,
HF,PQ,26,13452,5.9,1.000E-02,1.509E-07,1.839E+00,0.000E+00,1.000E+06,1.746E+08,2.796E+06,2.196E-14,2.101E+03,3.772E-02,1.862E+00,5.869E+11,-2.339E+00,1.050E+02,3.846E-02,2.636E-09,9.604E-01,0.000E+00,3.839E-03,1.947E+00,6.374E+07,1.000E-08,5.174E+02,85,,,,
HF,PQ,40,13824,6.7,1.000E-02,8.447E-08,2.097E+00,0.000E+00,1.000E+06,3.589E+08,3.245E+06,2.142E-14,5.873E+02,3.622E-01,1.073E+00,1.217E+10,-1.934E+00,1.205E+02,2.500E-02,1.025E-10,1.078E+00,0.000E+00,1.736E-02,1.716E+00,9.614E+01,7.162E-01,3.456E+02,105,,,,
HF,PQ,60,14162,6.7,1.000E-02,9.898E-07,1.871E+00,0.000E+00,3.881E+10,9.421E+07,5.410E+06,4.837E-14,6.312E+02,2.667E-01,1.103E+00,9.536E+07,-1.400E+00,1.188E+02,1.667E-02,2.636E-09,9.604E-01,0.000E+00,1.236E-02,1.854E+00,6.374E+07,1.000E-08,2.360E+02,142,,,,
HF,T,14,13225,6.2,1.000E-02,8.808E-07,1.438E+00,0.000E+00,2.058E+09,3.239E+08,3.003E+06,1.233E-13,1.683E+00,1.137E-05,6.103E-01,7.970E+12,-2.686E+00,-1.712E+00,7.143E-02,2.636E-09,9.604E-01,0.000E+00,2.240E-03,1.928E+00,4.940E+09,1.000E-08,9.447E+02,65,,,,
HF,T,26,13452,6.4,1.000E-02,2.437E-06,1.438E+00,0.000E+00,2.058E+09,3.239E+08,3.003E+06,1.233E-13,2.101E+03,3.772E-02,1.862E+00,5.869E+11,-2.339E+00,1.050E+02,3.846E-02,2.636E-09,9.604E-01,0.000E+00,3.839E-03,1.947E+00,6.374E+07,1.000E-08,5.174E+02,85,,,,
HF,T,60,15095,6.4,1.000E-02,1.672E-07,2.111E+00,0.000E+00,1.389E+09,1.170E+09,2.871E+06,9.446E-15,6.312E+02,2.667E-01,1.103E+00,9.536E+07,-1.400E+00,1.188E+02,1.667E-02,2.636E-09,9.604E-01,0.000E+00,1.236E-02,1.854E+00,6.374E+07,1.000E-08,2.516E+02,142,,,,
HF,T,125,15241,7.7,1.000E-02,2.848E-07,2.371E+00,0.000E+00,8.064E+09,1.223E+09,2.706E+06,2.045E-14,1.346E+03,2.608E-02,1.853E+00,1.596E+11,-2.190E+00,1.080E+02,8.000E-03,2.636E-09,9.604E-01,0.000E+00,2.685E-02,1.792E+00,6.374E+07,1.000E-08,1.219E+02,252,,,,
HF,T,147,15307,7.7,1.000E-02,1.248E-06,2.169E+00,0.000E+00,4.299E+10,6.671E+08,3.114E+06,8.003E-14,5.104E+02,3.435E-01,1.035E+00,1.480E+08,-1.446E+00,1.244E+02,6.803E-03,2.636E-09,9.604E-01,0.000E+00,3.581E-02,1.768E+00,6.374E+07,1.000E-08,1.041E+02,289,,,,
HF,T,160,15386,7.8,1.000E-02,1.434E-06,2.169E+00,0.000E+00,4.299E+10,6.671E+08,3.114E+06,8.003E-14,4.840E+02,3.099E-01,1.035E+00,1.048E+08,-1.400E+00,1.260E+02,6.250E-03,2.636E-09,9.604E-01,0.000E+00,3.903E-02,1.778E+00,6.374E+07,1.000E-08,9.617E+01,311,,,,
MP,T,14,7473,6.0,1.000E-02,5.683E-07,1.662E+00,0.000E+00,1.914E+09,4.349E+08,4.331E+06,8.850E-14,3.000E+02,5.905E-01,2.738E-01,3.576E+08,-1.544E+00,1.500E+02,7.143E-02,5.717E-09,8.920E-01,0.000E+00,6.690E-04,2.256E+00,2.003E+09,1.000E-08,5.338E+02,100,,,,
MP,T,26,7638,6.2,1.000E-02,1.960E-06,1.662E+00,0.000E+00,1.914E+09,4.349E+08,4.331E+06,8.850E-14,1.492E+03,2.488E+00,8.100E-01,9.536E+07,-1.400E+00,1.072E+02,3.846E-02,5.717E-09,8.920E-01,0.000E+00,1.885E-03,2.205E+00,2.003E+09,1.000E-08,2.938E+02,102,,,,
MP,T,60,8633,7.5,1.000E-02,1.076E-07,2.469E+00,0.000E+00,4.426E+09,1.249E+09,7.830E+06,1.112E-14,1.330E+03,1.621E+00,8.645E-01,9.536E+07,-1.400E+00,1.081E+02,1.667E-02,5.717E-09,8.920E-01,0.000E+00,6.050E-03,2.118E+00,2.003E+09,1.000E-08,1.439E+02,104,,,,
MP,T(OD=3.50-6.00 in),60,8633,7.5,1.000E-02,1.212E-06,1.961E+00,0.000E+00,9.919E+09,9.488E+08,4.486E+06,3.238E-14,1.330E+03,1.621E+00,8.645E-01,9.536E+07,-1.400E+00,1.081E+02,1.667E-02,5.717E-09,8.920E-01,0.000E+00,6.050E-03,2.118E+00,2.003E+09,1.000E-08,1.439E+02,104,,,,
MP,T,125,8856,7.7,1.000E-02,6.960E-07,2.451E+00,0.000E+00,1.000E+06,2.001E+09,4.002E+06,2.070E-14,9.081E+02,7.530E-01,8.896E-01,9.536E+07,-1.400E+00,1.124E+02,8.000E-03,5.717E-09,8.920E-01,0.000E+00,1.479E-02,2.100E+00,2.003E+09,1.000E-08,7.084E+01,105,,,,
MP,T(OD=3.50-6.00 in),125,8856,7.7,1.000E-02,7.875E-06,1.874E+00,0.000E+00,2.193E+10,1.308E+09,9.301E+06,3.087E-14,9.081E+02,7.530E-01,8.896E-01,9.536E+07,-1.400E+00,1.124E+02,8.000E-03,5.717E-09,8.920E-01,0.000E+00,1.479E-02,2.100E+00,2.003E+09,1.000E-08,7.084E+01,105,,,,
MP,T,147,8901,7.8,1.000E-02,1.089E-05,1.874E+00,0.000E+00,3.167E+10,1.206E+09,9.656E+06,5.636E-14,8.756E+02,7.477E-01,8.939E-01,9.536E+07,-1.400E+00,1.129E+02,6.803E-03,5.717E-09,8.920E-01,0.000E+00,1.836E-02,2.089E+00,2.003E+09,1.000E-08,6.055E+01,107,,,,
MP,T,160,8977,7.9,1.000E-02,1.123E-05,1.935E+00,0.000E+00,3.167E+10,1.206E+09,9.656E+06,5.636E-14,9.362E+02,7.857E-01,9.243E-01,9.536E+07,-1.400E+00,1.120E+02,6.250E-03,5.717E-09,8.920E-01,0.000E+00,2.088E-02,2.075E+00,2.003E+09,1.000E-08,5.611E+01,109,,,,
MP,T,173,8977,7.9,1.000E-02,1.313E-05,1.935E+00,0.000E+00,3.167E+10,1.206E+09,9.656E+06,5.636E-14,8.724E+02,6.288E-01,9.478E-01,9.536E+07,-1.400E+00,1.129E+02,5.780E-03,5.717E-09,8.920E-01,0.000E+00,2.344E-02,2.072E+00,2.003E+09,1.000E-08,5.189E+01,111,,,,
MP,T,205,8977,7.9,1.000E-02,3.822E-06,2.349E+00,0.000E+00,1.143E+10,2.045E+09,1.156E+07,8.981E-14,8.750E+02,1.305E+00,8.603E-01,9.536E+07,-1.400E+00,1.129E+02,4.878E-03,5.717E-09,8.920E-01,0.000E+00,3.077E-02,2.042E+00,2.003E+09,1.000E-08,4.379E+01,113,,,,
OC,T,26,11238,6.2,1.000E-02,3.288E-07,1.778E+00,0.000E+00,1.000E+06,4.028E+08,5.150E+06,2.400E-14,1.659E+03,2.669E-01,1.398E+00,9.090E+10,-2.138E+00,1.064E+02,3.846E-02,6.059E-10,1.010E+00,0.000E+00,3.281E-03,1.999E+00,5.781E+06,2.120E+00,4.322E+02,-0.2315956,-7.25E-03,1.73E-02,2.18E-04,-2.86E-04
OC,T(OD=5.22-7.75 in),26,10633,5.7,1.000E-02,1.215E-06,1.607E+00,0.000E+00,1.000E+06,7.184E+08,3.715E+05,2.741E-14,1.659E+03,2.669E-01,1.398E+00,9.090E+10,-2.138E+00,1.064E+02,3.846E-02,6.059E-10,1.010E+00,0.000E+00,3.281E-03,1.999E+00,5.781E+06,2.120E+00,4.089E+02,-0.2315956,-7.25E-03,1.73E-02,2.18E-04,-2.86E-04
OC,T,60,11948,6.8,1.000E-02,8.573E-08,2.326E+00,0.000E+00,2.288E+09,1.502E+09,3.344E+06,1.782E-14,8.767E+02,6.069E-01,1.079E+00,2.543E+09,-1.752E+00,1.129E+02,1.667E-02,6.059E-10,1.010E+00,0.000E+00,1.147E-02,1.891E+00,2.006E+04,2.633E+00,1.991E+02,-0.49301,-7.25E-03,3.68E-02,2.18E-04,-6.10E-04
OC,T(OD=6.00-7.75 in),60,11545,6.4,1.000E-02,1.806E-06,1.799E+00,0.000E+00,7.427E+06,2.027E+09,1.000E+03,2.739E-14,8.767E+02,6.069E-01,1.079E+00,2.543E+09,-1.752E+00,1.129E+02,1.667E-02,6.059E-10,1.010E+00,0.000E+00,1.147E-02,1.891E+00,2.006E+04,2.633E+00,1.924E+02,-0.49301,-7.25E-03,3.68E-02,2.18E-04,-6.10E-04
OC,T,90,12065,6.9,1.000E-02,4.557E-07,2.175E+00,0.000E+00,3.398E+09,1.939E+09,4.260E+06,1.685E-14,9.581E+02,5.682E-01,1.164E+00,4.792E+09,-1.812E+00,1.117E+02,1.111E-02,6.059E-10,1.010E+00,0.000E+00,1.924E-02,1.840E+00,4.785E+04,3.113E+00,1.341E+02,-0.7246049,-7.25E-03,5.41E-02,2.18E-04,-8.96E-04
OC,T,125,12124,6.9,1.000E-02,8.990E-07,2.221E+00,0.000E+00,1.000E+06,2.369E+09,1.449E+06,2.303E-14,9.581E+02,5.682E-01,1.164E+00,4.792E+09,-1.812E+00,1.117E+02,8.000E-03,6.059E-10,1.010E+00,0.000E+00,2.540E-02,1.839E+00,4.900E+04,2.856E+00,9.699E+01,-0.993973,-7.25E-03,7.42E-02,2.18E-04,-1.23E-03
OD,T,26,15350,6.4,1.000E-02,5.445E-08,2.001E+00,0.000E+00,1.000E+06,3.091E+08,3.868E+06,2.729E-14,1.659E+03,2.669E-01,1.398E+00,9.090E+10,-2.138E+00,1.064E+02,3.846E-02,6.059E-10,1.010E+00,0.000E+00,3.281E-03,1.999E+00,5.781E+06,2.120E+00,5.904E+02,-0.2315956,-7.25E-03,1.73E-02,2.18E-04,-2.86E-04
OD,T(OD=5.22-7.75 in),26,15170,6.3,1.000E-02,1.553E-07,1.844E+00,0.000E+00,1.000E+06,6.232E+08,2.214E+06,4.542E-14,1.659E+03,2.669E-01,1.398E+00,9.090E+10,-2.138E+00,1.064E+02,3.846E-02,6.059E-10,1.010E+00,0.000E+00,3.281E-03,1.999E+00,5.781E+06,2.120E+00,5.835E+02,-0.2315956,-7.25E-03,1.73E-02,2.18E-04,-2.86E-04
OD,T,60,16369,7.0,1.000E-02,2.111E-08,2.501E+00,0.000E+00,1.000E+06,8.154E+08,2.976E+06,3.292E-14,8.767E+02,6.069E-01,1.079E+00,2.543E+09,-1.752E+00,1.129E+02,1.667E-02,6.059E-10,1.010E+00,0.000E+00,1.147E-02,1.891E+00,2.006E+04,2.633E+00,2.728E+02,-0.49301,-7.25E-03,3.68E-02,2.18E-04,-6.10E-04
OD,T(OD=6.00-7.75 in),60,16229,7.0,1.000E-02,1.037E-07,2.269E+00,0.000E+00,1.770E+08,1.263E+09,1.735E+06,4.706E-14,8.767E+02,6.069E-01,1.079E+00,2.543E+09,-1.752E+00,1.129E+02,1.667E-02,6.059E-10,1.010E+00,0.000E+00,1.147E-02,1.891E+00,2.006E+04,2.633E+00,2.705E+02,-0.49301,-7.25E-03,3.68E-02,2.18E-04,-6.10E-04
OD,T,90,16922,7.4,1.000E-02,4.343E-07,2.124E+00,0.000E+00,1.000E+06,7.629E+08,4.688E+06,4.273E-14,9.581E+02,5.682E-01,1.164E+00,4.792E+09,-1.812E+00,1.117E+02,1.111E-02,6.059E-10,1.010E+00,0.000E+00,1.924E-02,1.840E+00,4.785E+04,3.113E+00,1.880E+02,-0.7246049,-7.25E-03,5.41E-02,2.18E-04,-8.96E-04
OE,T,26,12433,5.8,1.000E-02,3.081E-07,1.754E+00,0.000E+00,1.000E+06,2.872E+08,2.868E+06,2.365E-14,1.659E+03,2.669E-01,1.398E+00,9.090E+10,-2.138E+00,1.064E+02,3.846E-02,6.059E-10,1.010E+00,0.000E+00,3.281E-03,1.999E+00,5.781E+06,2.120E+00,4.782E+02,-0.2315956,-7.25E-03,1.73E-02,2.18E-04,-2.86E-04
OE,T(OD=5.22-7.75 in),26,12341,5.8,1.000E-02,7.206E-07,1.660E+00,0.000E+00,1.000E+06,4.182E+08,1.002E+07,4.192E-14,1.659E+03,2.669E-01,1.398E+00,9.090E+10,-2.138E+00,1.064E+02,3.846E-02,6.059E-10,1.010E+00,0.000E+00,3.281E-03,1.999E+00,5.781E+06,2.120E+00,4.746E+02,-0.2315956,-7.25E-03,1.73E-02,2.18E-04,-2.86E-04
OE,T,60,13222,6.4,1.000E-02,1.076E-07,2.308E+00,0.000E+00,1.000E+06,6.811E+08,3.796E+06,2.696E-14,8.767E+02,6.069E-01,1.079E+00,2.543E+09,-1.752E+00,1.129E+02,1.667E-02,6.059E-10,1.010E+00,0.000E+00,1.147E-02,1.891E+00,2.006E+04,2.633E+00,2.204E+02,-0.49301,-7.25E-03,3.68E-02,2.18E-04,-6.10E-04
OE,T(OD=6.00-7.75 in),60,12706,6.0,1.000E-02,3.825E-06,1.731E+00,0.000E+00,1.256E+08,8.845E+08,5.421E+05,3.805E-14,8.767E+02,6.069E-01,1.079E+00,2.543E+09,-1.752E+00,1.129E+02,1.667E-02,6.059E-10,1.010E+00,0.000E+00,1.147E-02,1.891E+00,2.006E+04,2.633E+00,2.118E+02,-0.49301,-7.25E-03,3.68E-02,2.18E-04,-6.10E-04
OE,T,75,11983,6.4,1.000E-02,1.306E-05,1.508E+00,0.000E+00,8.003E+08,7.905E+08,1.123E+06,2.652E-14,8.767E+02,6.069E-01,1.079E+00,2.543E+09,-1.752E+00,1.129E+02,1.333E-02,6.059E-10,1.010E+00,0.000E+00,1.503E-02,1.853E+00,3.712E+03,1.972E+00,1.598E+02,-0.6093045,-7.25E-03,4.55E-02,2.18E-04,-7.53E-04
OE,T,90,13216,6.4,1.000E-02,3.156E-06,1.858E+00,0.000E+00,1.655E+09,7.086E+08,4.038E+06,2.568E-14,9.581E+02,5.682E-01,1.164E+00,4.792E+09,-1.812E+00,1.117E+02,1.111E-02,6.059E-10,1.010E+00,0.000E+00,1.924E-02,1.840E+00,4.785E+04,3.113E+00,1.468E+02,-0.7246049,-7.25E-03,5.41E-02,2.18E-04,-8.96E-04