"Product","Status","Package","Configuration","Polarity","VDS (V)","VGS (±V)","ID @ 25°C (A)","PD @ 25°C (W)","RDS(ON) max (mΩ) at VGS=10V","RDS(ON) max (mΩ) at VGS=4.5V","Qg (10V)(nC)","Qg (4.5V)(nC)","VGS(th) min (V)","VGS(th) typ (V)","VGS(th) max (V)","Ciss (pF)","Coss (pF)","Crss (pF)","Qgd (nC)","tD(on) (ns)","tD(off) (ns)","Trr (ns)","Qrr (nC)","Qualification","ESD Diode","Tj max (°C)"
"AOT414","Full Production","TO220","Single","N","100","25","43","115","25",,"28",,"2","3.30","4","1770","165","55","10","12","17","20","82","Industrial","No","175"
"AOT430","Full Production","TO220","Single","N","75","25","80","268","11.50",,"114",,"2","2.70","4","4700","400","180","18","21","70","53","143","Industrial","No","175"
"AOT470","Full Production","TO220","Single","N","75","25","100","268","10.50",,"114",,"2","2.70","4","4700","400","180","18","21","70","53","143","Industrial","No","175"
"AOT480L","Full Production","TO220","Single","N","80","25","180","333","4.50",,"116",,"2","2.80","4","6520","810","310","38","31.50","46","28","132","Industrial","No","175"
"AOT482L","Full Production","TO220","Single","N","80","25","105","333","7.20",,"66.80",,"2.50","3.10","3.70","4054","458","160","20.20","26","48","26","108","Industrial","No","175"
"AOT66518L","Full Production","TO220","Single","N","150","20","120","375","5",,"80",,"2.70","3.20","3.70","6460","820","5","15","20","49","86","920","Industrial","No","175"
"AOT66613L","Full Production","TO220","Single","N","60","20","120","260","2.50",,"78",,"2.30","2.85","2.85","5300","1500","50","20","23","40","30","135","Industrial","No","150"
"AOT66616L","Full Production","TO220","Single","N","60","20","140","125","3.20",,"42.50",,"2.40","2.90","3.40","2870","940","38","10",,,"26","87","Industrial","No","150"
"AOT66620L","Full Production","TO220","Single","N","60","20","57","50","8.50",,"16",,"2.40","3","3.60","1070","310","12","3.60","10","18","18","58","Industrial","No","150"
"AOT66811L","Full Production","TO220","Single","N","80","20","120","310","3",,"77",,"2.60","3.20","3.80","5750","1580","30","15","19","45","35","175","Industrial","No","175"
"AOT66914L","Full Production","TO220","Single","N","100","20","120","375","2.70",,"155",,"2.50","3","3.50","12500","3190","55","31","36","90","55","335","Industrial","No","175"
"AOT66916L","Full Production","TO220","Single","N","100","20","120","277","3.60",,"78",,"2.50","2.95","3.50","6180","1660","29","15","24","52","45","287","Industrial","No","150"
"AOT66918L","Full Production","TO220","Single","N","100","20","120","375","5",,"75",,"2.70","3.20","3.70","6500","3200","30","15","26","53","80","790","Industrial","No","175"
"AOT66919L","Full Production","TO220","Single","N","100","20","105","187","6.80","8.80","47","22","1.50","2","2.60","3420","790","14","5","11","43","36","214","Industrial","No","175"
"AOT66920L","Full Production","TO220","Single","N","100","20","80","100","8","10.50","35","16.70","1.50","2","2.50","2500","485","13","5","10","31","34","170","Industrial","No","150"
"AOTF12N30","Full Production","TO220F","Single","N","300","30","11.50","36","420",,"12.80",,"3.40","4","4.50","632","90","7","4.30","18","36","170","1300","Industrial","No","150"
"AOTF20N40","Full Production","TO220F","Single","N","400","30","20","50","250",,"37",,"3","3.70","4.30","1898","212","15","12","44","96","285","3900","Industrial","No","150"
"AOTF2142L","Full Production","TO220F","Single","N","40","20","112","41","1.90","2.50","100","45","1.30","1.80","2.30","8320","1438","85","7",,,"26","83","Industrial","No","175"
"AOTF2144L","Full Production","TO220F","Single","N","40","20","90","32","2.30","4","68","28","1.40","1.90","2.40","5225","895","55","4.50",,,"20","60","Industrial","No","150"
"AOTF2146L","Full Production","TO220F","Single","N","40","20","80","29.50","2.80","3.90","50","20","1.50","1.95","2.50","3830","630","45","3",,,"18.50","50","Industrial","No","150"
"AOTF240L","Full Production","TO220F","Single","N","40","20","85","41","2.90","3.70","49","22","1","1.70","2.20","3510","1070","68","7","11","38","21","58","Industrial","No","175"
"AOTF256L","Full Production","TO220F","Single","N","150","20","12","33","85","100","15.50","7","1.80","2.25","2.80","1165","61.50","2.50","1.20","6.50","23","37","265","Industrial","No","175"
"AOTF2606L","Full Production","TO220F","Single","N","60","30","54","36.50","6.50",,"53","22","2.50","3","3.50","4050","345","16.80","5","18","33","26","125","Industrial","No","175"
"AOTF260L","Full Production","TO220F","Single","N","60","20","92","46.50","2.60",,"150",,"2.20","2.70","3.20","11800","1360","40","15","30","74","32","200","Industrial","No","175"
"AOTF2610L","Full Production","TO220F","Single","N","60","20","35","31","10.70","13.50","20.60","8.50","1.40","2","2.50","2007","177","12.50","2.20","8.50","27","19","69.50","Industrial","No","175"
"AOTF2618L","Full Production","TO220F","Single","N","60","20","22","23.50","19","25","14","6","1.40","1.95","2.50","950","108","7","1.60","7.50","18","20","70","Industrial","No","175"
"AOTF266L","Full Production","TO220F","Single","N","60","20","78","45.50","3.50",,"65",,"2.20","2.70","3.20","5650","720","20","7","21","36","27","145","Industrial","No","175"
"AOTF286L","Full Production","TO220F","Single","N","80","20","56","37.50","6",,"44.50",,"2.30","2.70","3.30","3142","435","43","8","13.50","32","29","161","Industrial","No","175"
"AOTF288L","Full Production","TO220F","Single","N","80","20","43","33.50","9.20",,"26.50",,"2.30","2.80","3.40","1871","265","14","4","11.50","21.50","32","162","Industrial","No","175"
"AOTF290L","Full Production","TO220F","Single","N","100","20","72","48","4.20",,"90",,"2.90","3.50","4.10","7180","2780","42","21","7","20","65","460","Industrial","No","175"
"AOTF2910L","Full Production","TO220F","Single","N","100","20","22","27","24","33","16.50","7","1.60","2.15","2.70","1190","95","7","2.50","7","20","30","145","Industrial","No","175"
"AOTF2916L","Full Production","TO220F","Single","N","100","20","17","23.50","34","43","12.50","5.50","1.60","2","2.70","870","68","3.50","2","7.50","23","20","88","Industrial","No","175"
"AOTF292L","Full Production","TO220F","Single","N","100","20","70","47","4.50",,"90",,"2.30","2.80","3.40","6775","557","32","13.50",,,"50","380","Industrial","No","175"
"AOTF4126","Full Production","TO220F","Single","N","100","25","27","42","24",,"28",,"2","3.30","4","1770","165","55","10","12","17","20","82","Industrial","No","175"
"AOTF454L","Full Production","TO220F","Single","N","150","20","13","41","94",,"15",,"3.40","4","4.60","820","70","22","4.40","10.50","14.50","32.50","230","Industrial","No","150"
"AOTF66613L","Full Production","TO220F","Single","N","60","20","90","34.50","2.50",,"78",,"2.30","2.85","2.85","5300","1500","50","20","23","40","30","135","Industrial","No","150"
"AOTF66616L","Full Production","TO220F","Single","N","60","20","72.50","30","3.30",,"42.50",,"2.40","2.90","3.40","2870","940","38","10",,,"26","87","Industrial","No","150"
"AOTF66811L","Full Production","TO220F","Single","N","80","20","80","34","3",,"77",,"2.60","3.20","3.80","5750","1580","30","15","19","45","35","175","Industrial","No","150"
"AOTF66919L","Full Production","TO220F","Single","N","100","20","50","32","6.50","8.50","47","22","1.50","2","2.60","3420","790","14","5","11","43","36","214","Industrial","No","150"
"AOTF66920L","Full Production","TO220F","Single","N","100","20","41","27.50","8.20","10.70","35","16.70","1.50","2","2.50","2500","485","13","5","10","31","34","170","Industrial","No","150"
"AOTL66401","Full Production","TOLLA","Single","N","40","20","400","300","0.70","0.95","240","100","1.30","1.80","2.30","19180","3110","180","22",,,"35","160","Industrial","No","175"
"AOTL66608","Full Production","TOLLA","Single","N","60","20","400","500","0.85",,"205",,"2.10","2.65","3.30","14200","4300","155","50","33","140","50","265","Industrial","No","175"
"AOTL66610","Full Production","TOLLA","Single","N","60","20","350","272","1.20",,"103",,"2.40","2.95","3.60","7625","2145","68","23","23.50","64","37","172","Industrial","No","175"
"AOTL66810","Full Production","TOLLA","Single","N","80","20","420","425","1.25",,"175",,"2.40","3","3.60","13000","3300","95","35","35","113","52","340","Industrial","No","175"
"AOTL66918","Full Production","TOLLA","Single","N","100","20","214","500","4.30",,"75",,"2.70","3.20","3.70","6500","3200","30","15","26","53","80","790","Industrial","No","175"
"AOUS66416","Full Production","UltraSO-8L","Single","N","40","20","69","73.50","3.30","5","31","13.50","1.40","1.95","2.50","2575","440","25","2","9.50","33","14","30","Industrial","No","150"
"AOW2500","Full Production","TO262","Single","N","150","20","152","375","6.20",,"97",,"2.30","2.80","3.50","6460","586","22","17","18.50","67.50","90","1090","Industrial","No","175"
"AOW482","Full Production","TO262","Single","N","80","25","105","333","7.20",,"66.80",,"2.50","3.10","3.70","4054","458","160","20.20","26","48","26","108","Industrial","No","175"
"AOW66412","Full Production","TO262","Single","N","40","20","120","260","1.90","2.50","45","45","1.30","1.80","2.30","8320","1438","85","7",,,"26","83","Industrial","No","150"
"AOW66613","Full Production","TO262","Single","N","60","20","120","260","2.50",,"78",,"2.30","2.85","3.50","5300","1500","50","20","23","40","30","135","Industrial","No","150"
"AOW66616","Full Production","TO262","Single","N","60","20","140","125","3.20",,"42.50",,"2.40","2.90","3.40","2870","940","38","10",,,"26","87","Industrial","No","150"
"AOWF412","Full Production","TO262F","Single","N","100","25","30","33","15.80",,"45",,"2.60","3.20","3.80","2680","280","100","15","19","27","22","96","Industrial","No","175"
"AOY2610E","Full Production","TO251B","Single","N","60","20","46","59.50","9.50","13.30","14.50","7","1.40","1.80","2.40","1100","300","28","3.50",,,"19","65","Industrial","No","150"
"AOY66620","Full Production","TO251B","Single","N","60","20","58","52","8.50",,"16",,"2.40","3","3.60","1070","310","12","3.60","10","18","18","58","Industrial","No","150"
"AOY66919","Full Production","TO251B","Single","N","100","20","70","156","6.50","8.50","47","22","1.50","2","2.60","3420","790","14","5","11","43","36","214","Industrial","No","150"
"AOY66920","Full Production","TO251B","Single","N","100","20","70","89","8.20","10.70","35","16.70","1.50","2","2.50","2500","485","13","5","10","31","34","170","Industrial","No","150"
"AOY66923","Full Production","TO251B","Single","N","100","20","58","73","11","15","25","12.50","1.60","2.10","2.60","1725","360","7.50","3.50","8.50","23","41","156","Industrial","No","150"
"AONR20485","Full Production","DFN3x3A-8L","Single","P","-40","20","-34","69","15","20","43","20","-1.20","-1.75","-2.30","2430","250","175","10","11","57.50","19","60","Industrial","No","150"
"AOTL66811","Full Production","TOLLA","Single","N","80","20","268","272","1.80",,"102",,"2.50","3.20","3.80","7680","2130","45","21","24","72","40","233","Industrial","No","175"
"AONS66817","Full Production","DFN5x6-8L","Single","N","80","20","120","113","4.10",,"38",,"2.50","3.10","3.80","2860","790","16","8.20","12.50","37","29","125","Industrial","No","150"
"AOTL66914","Full Production","TOLLA","Single","N","100","20","220","272","2.50",,"93",,"2.40","2.90","3.50","7100","1900","27","13","21","69","50","300","Industrial",,"175"
"AONS66814","Full Production","DFN5x6-8L","Single","N","80","20","310","500","2.40",,"66",,"2.60","3.20","3.80","5000","1290","25","12.50","17.50","43","35","192","Industrial",,"175"
"AONS66402T","Full Production","DFN5x6-8L","Single","N","40","20","224","142","1.60","2.30","75","33","1.30","1.80","2.30","5570","1035","75","5","13","48","21","65","Industrial",,"175"
"AONS66641T","Full Production","DFN5x6-8L","Single","N","60","20","325","325","1.40",,"78",,"2.20","2.80","3.40","5300","1500","50","20","23","40","30","135","Industrial",,"175"
"AONS66405T","Full Production","DFN5x6-8L","Single","N","40","20","385","258","0.95",,"118",,"2.40","2.90","3.40","9700","1530","100","7.60","24","75.50","26","106","Industrial",,"175"
"AOTL66915","Full Production","TOLLA","Single","N","100","20","339","428","1.70",,"185",,"1.80","2.30","2.80","16300","3220","33","17","32","141","61","520","Industrial",,"175"
"AONS66917T","Full Production","DFN5x6-8L","Single","N","100","20","185","258","3.50","5","80","35","1.70","2.20","2.80","5940","1475","24","11","16.50","46","43","208","Industrial",,"175"
"AOTL66215","Full Production","TOLLA","Single","N","120","20","305","500","2.30",,"185",,"2.30","2.80","3.30","16800","1270","25","14","39","115","72","863","Industrial",,"175"
"AOB66216L","Full Production","TO263","Single","N","120","20","120","375","4.80",,"190",,"2","2.50","3","16700","720","17","15","33","128","84","1180","Industrial",,"175"
"AONZ66412","Full Production","DFN5x6F-8L","Dual","N","40","20","182","147","2.40","3.80","40","18","1.30","1.80","2.30","3100","560","45","2.80","9.50","38","17","50","Industrial",,"150"
"AONA66916","Full Production","DFN5x6-8L","Single","N","100","20","197","300","3.40",,"66",,"2.40","3","3.60","5300","1500","26","12","15","46.50","43","280","Industrial",,"175"
"AOLF66412","Full Production","LFPAK5x6-4L","Single","N","40","20","352","375","1.50","2","85","35","1.30","1.80","2.30","6400","1100","100","6","12","45","20.50","65.50","Industrial",,"175"
"AOLF66413","Full Production","LFPAK5x6-4L","Single","N","40","20","374","375","1.50",,"80",,"2.40","3","3.60","7000","1100","95","8","22","50","22","82","Industrial",,"175"
"AOLF66417","Full Production","LFPAK5x6-4L","Single","N","40","20","200","214","2.60",,"43",,"2.50","3.15","3.80","3700","320","45","3","12","27","18","55","Industrial",,"175"
"AONS77402","Full Production","DFN5x6-8L","Single","N","40","20","335","278","1.50",,"53","25","1.30","1.80","2.30","3750","1620","50","11","8.80","31","28","100","Industrial",,"150"
"AONS66615T","Full Production","DFN5x6-8L","Single","N","60","20","114","93","3.50",,"39",,"2.60","3.20","3.50","2710","740","23","10.50","13","31","24.50","88","Industrial",,"175"
"AONS66609T","Full Production","DFN5x6-8L","Single","N","60","20","313","258","1.25",,"90",,"2.10","2.70","3.30","6350","1800","55","21","19","70","35","150","Industrial",,"175"
"AOD66643","Full Production","TO252","Single","N","60","20","70","156","2.50",,"68",,"2.20","2.80","3.40","4800","1300","36","15","16.50","45.50","32","132","Industrial",,"150"
"AONS68520","Full Production","DFN5x6-8L","Single","N","150","20","102","208","9.60",,"48",,"2.60","3.25","3.90","3440","490","10","9.50","15","30","68","82","Industrial",,"150"
"AONS66613","Full Production","DFN5x6-8L","Single","N","60","20","196","214","2.80",,"48",,"2.20","2.80","3.40","3300","965","22","11.50","12","27","25","80","Industrial",,"175"
"AOLF66910","Full Production","LFPAK5x6-4L","Single","N","100","20","187","375","4.70",,"47",,"2.40","3","3.60","3630","1080","20","8","13","36","40","240","Industrial",,"175"
"AOB66935L","Full Production","TO263","Single","N","100","20","180","500","2.80",,"170",,"2.10","2.65","3.20","15400","3100","80","15","40","112","60","550","Industrial",,"175"
"AONS66605","Full Production","DFN5x6-8L","Single","N","60","20","120","100","3.80","5","42","20","1.20","1.80","2.40","2485","520","17","6.60","8","30","19","53","Industrial",,"150"
"AONS66607","Full Production","DFN5x6-8L","Single","N","60","20","75","63","6","8","24","11","1.20","1.80","2.40","1525","320","10","4","6.80","22","16.50","45","Industrial",,"150"
"AON2392","Not for New Designs","DFN2x2-8L","Single","N","100","20","8","4.10","32","39","12.80","6.10","1.40","1.85","2.40","840","64","4","1.80",,,"20","70","Industrial","No","150"
"AOT12N40","Not for New Designs","TO220","Single","N","400","30","11","184","590",,"17",,"3.30","3.90","4.50","925","100","6.40","5.70","25","41","235","2400","Industrial","No","150"
"AOT20N25","Not for New Designs","TO220","Single","N","250","30","20","208","170",,"20",,"3.20","3.80","4.50","1028","167","11","8","27","70","179","1600","Industrial","No","150"
"AOT9N40","Not for New Designs","TO220","Single","N","400","30","8","132","800",,"13.10",,"3.40","4","4.50","630","73","5.70","4.80","17","25","195","1900","Industrial","No","150"
"AOB1100L","Obsolete","TO263","Single","N","100","20","130","500","11.70",,"82",,"2.60","3.20","3.80","4833","721","35","19","21","50","64","880","Industrial","No","175"
"AOB2140L","Obsolete","TO263","Single","N","40","20","195","272","1.50","2",,"54","1.30","1.80","2.30","9985","1635","95","11",,,"29","107","Industrial","No","175"
"AOB2502L","Obsolete","TO263","Single","N","150","20","106","277","10.70",,"43",,"3.50","4.30","5.10","3010","347","14","10","19","30","75","880","Industrial","No","150"
"AOB254L","Obsolete","TO263","Single","N","150","20","32","125","46","53","27","12","1.70","2.20","2.70","2150","110","4","3","9","29","51","434","Industrial","No","175"
"AOB2608L","Obsolete","TO263","Single","N","60","20","72","100","7.60",,"38.50",,"2.60","3.10","3.60","2995","270","10.50","3.50","15","25","24","115","Industrial","No","175"
"AOB270AL","Obsolete","TO263","Single","N","75","20","140","500","2.40",,"147",,"2.20","2.70","3.30","10830","1520","97","30","30","66","53","438","Industrial","No","175"
"AOB284L","Obsolete","TO263","Single","N","80","20","105","250","4.30",,,"33.50","2.30","2.80","3.30","5154","673","48","11.50","18","38","38","230","Industrial","No","175"
"AOB2904","Obsolete","TO263","Single","N","100","20","120","326","4.40",,,"93","2.30","2.75","3.30","7085","605","32","16",,,"49","460","Industrial","No","175"
"AOB2910L","Obsolete","TO263","Single","N","100","20","30","50","23.50","32.50",,"7","1.60","2.15","2.70","1190","95","7","2.50","7","20","30","145","Industrial","No","175"
"AOB296L","Obsolete","TO263","Single","N","100","20","70","107","9.70",,,"16.50","2.30","2.90","3.40","2785","238","12","5","13","29","35","210","Industrial","No","175"
"AOB416","Obsolete","TO263","Single","N","100","25","45","150","36",,"20",,"2.80","3.40","4","1180","110","36","6.30","10","15","19","70","Industrial","No","175"
"AOD242","Obsolete","TO252","Single","N","40","20","54","53.50","5.80","8.20",,"8","1.30","1.80","2.30","1350","405","26","2.30","6","23","15.50","31","Industrial","No","175"
"AOD254","Obsolete","TO252","Single","N","150","20","28","100","46","53",,"12","1.70","2.20","2.70","2150","110","4","3","9","29","51","434","Industrial","No","175"
"AOD450","Obsolete","TO252","Single","N","200","30","3.80","25","700",,"3.82",,"3","5","6","215","32","7.20","1.47","6.30","10.50","59","142","Industrial","No","150"
"AOK2500L","Obsolete","TO247","Single","N","150","20","180","500","6.20",,"97",,"2.30","2.80","3.50","6460","586","22","17","18.50","67.50","90","1090","Industrial","No","175"
"AOK60N30L","Obsolete","TO247","Single","N","300","30","60","658","560",,,"88","2.90","3.50","4.10","4438","593","38","28",,,"320","14.50","Industrial","No","150"
"AOL1240","Obsolete","UltraSO-8L","Single","N","40","20","69","125","3","4.40",,"18","1.30","1.80","2.30","3165","920","45.50","3.50","9","32","20.50","56","Industrial","No","175"
"AOL1242","Obsolete","UltraSO-8L","Single","N","40","20","69","68","5.20","7.90",,"8","1.30","1.80","2.30","1350","405","26","2.30","6","23","15.50","31","Industrial","No","175"
"AOL1454","Obsolete","UltraSO-8L","Single","N","40","20","50","60","9","13",,"10.50","1","2","3","1600","320","100","4.80","6.50","33","31","33","Industrial","Yes","175"
"AOL1454G","Obsolete","UltraSO-8L","Single","N","40","20","46","52","5.90","9.20",,"8.50","1.50","2","2.50","1480","245","13","3",,,"11","21","Industrial","No","150"
"AOL1482","Obsolete","UltraSO-8L","Single","N","100","20","28","75","37","42",,"18","1.60","2.10","2.70","1630","100","50","9","7","29","32","200","Industrial","No","175"
"AON6154","Obsolete","DFN5x6-8L","Single","N","45","20","100","125","1.50","2.10","86","38","1.40","1.85","2.40","6575","870","82","6","5","16","22","60","Industrial","No","150"
"AON6160","Obsolete","DFN5x6-8L","Single","N","60","20","100","215","1.58",,,"85","2.10","2.55","3.40","6485","1050","30","13",,,"33","176","Industrial","No","150"
"AON6232","Obsolete","DFN5x6-8L","Single","N","40","20","85","83","2.50","3.60",,"18.20","1.30","1.80","2.50","3165","905","52.50","2.80","8.70","33.50","22.50","59","Industrial","No","150"
"AON6440","Obsolete","DFN5x6-8L","Single","N","40","20","85","83","3.40","4.50",,"40","1.20","1.70","2.20","5000","780","300","15","13.70","54","16","38","Industrial","No","150"
"AON7242","Obsolete","DFN3.3x3.3-8L","Single","N","40","20","50","83","3.90","5.80",,"11.90","1.30","1.80","2.30","1970","540","41","2.20","7","23","16","47","Industrial","No","150"
"AON7446","Obsolete","DFN3x3A-8L","Single","N","60","20","8","16.70","145",,"4.40",,"2.20","2.70","3.30","237","25","9","1.10","4.50","15","7.70","13","Industrial","No","150"
"AON7462","Obsolete","DFN3x3A-8L","Single","N","300","30","2.50","25","1500",,"4.60",,"3.50","4.20","4.50","197","30","2","1.50","17","26","95","220","Industrial","No","150"
"AOT2140L","Obsolete","TO220","Single","N","40","20","195","272","1.50","2",,"54","1.30","1.80","2.30","9985","1635","95","11",,,"29","107","Industrial","No","175"
"AOT2502L","Obsolete","TO220","Single","N","150","20","106","277","11",,"43",,"3.50","4.30","5.10","3010","345","14","10","19","30","75","880","Industrial","No","150"
"AOT254L","Obsolete","TO220","Single","N","150","20","32","125","46","53","27","12","1.70","2.20","2.70","2150","110","4","3","9","29","51","434","Industrial","No","175"
"AOT2608L","Obsolete","TO220","Single","N","60","20","72","100","8",,"38.50",,"2.60","3.10","3.60","2995","270","10.50","3.50","15","25","24","115","Industrial","No","175"
"AOT270AL","Obsolete","TO220","Single","N","75","20","140","500","2.60",,"147",,"2.20","2.70","3.30","10830","1520","97","30","30","66","53","438","Industrial","No","175"
"AOT2904","Obsolete","TO220","Single","N","100","20","120","326","4.40",,,"93","2.30","2.75","3.30","7085","605","32","16",,,"49","460","Industrial","No","175"
"AOT2916L","Obsolete","TO220","Single","N","100","20","23","41.50","34","43.50",,"5.50","1.60","2","2.70","870","68","3.50","2","7.50","23","20","88","Industrial","No","175"
"AOT418L","Obsolete","TO220","Single","N","100","25","105","333","10",,"69",,"2.60","3.30","3.90","4334","382","131","22","21","38","27","129","Industrial","No","175"
"AOT460","Obsolete","TO220","Single","N","60","20","85","268","7.50",,,"33","2","2.95","4","3800","430","190","19","18","44","53","98","Industrial","No","175"
"AOTF296L","Obsolete","TO220F","Single","N","100","20","41","36.50","10",,"37",,"2.30","2.90","3.40","2785","238","12","5","13","29","35","210","Industrial","No","175"
"AOUS66414","Obsolete","UltraSO-8L","Single","N","40","20","92","92","2.20","3.20",,"35","1.30","1.80","2.30","4350","730","40","3.60","12","47","18","45","Industrial","No","150"
"AOUS66616","Obsolete","UltraSO-8L","Single","N","60","20","90","92.50","3.30",,,,"2.40","2.90","3.40","2870","940","38","10","14.50","33","26","87","Industrial","No","150"
"AOUS66620","Obsolete","UltraSO-8L","Single","N","60","20","46","52","9",,"16",,"2.40","3","3.60","1070","310","12","3.60","10","18","18","58","Industrial","No","150"
"AOUS66920","Obsolete","UltraSO-8L","Single","N","100","20","69","86","8.20","10.70",,"16.70","1.50","2","2.50","2500","485","13","5","10","31","34","170","Industrial","No","150"
"AOUS66923","Obsolete","UltraSO-8L","Single","N","100","20","58","73","11","15",,"12.50","1.60","2.10","2.60","1725","360","7.50","3.50",,,"41","156","Industrial","No","150"
"AOW2502","Obsolete","TO262","Single","N","150","20","106","277","10.70",,"43",,"3.50","4.30","5.10","3010","345","14","10","19","30","75","880","Industrial","No","150"
"AOW284","Obsolete","TO262","Single","N","80","20","105","250","4.30",,"71",,"2.30","2.80","3.30","5154","673","48","11.50","18","38","38","230","Industrial","No","175"
"AOW292","Obsolete","TO262","Single","N","100","20","105","300","4.10",,"90",,"2.30","2.80","3.40","6775","557","32","13.50","20","48","50","380","Industrial","No","175"
"AOW296","Obsolete","TO262","Single","N","100","20","70","104","9.70",,,"37","2.30","2.90","3.40","2785","238","12","5",,,"35","210","Industrial","No","150"
"AOWF296","Obsolete","TO262F","Single","N","100","20","37","26","9.70",,,"37","2.30","2.90","3.40","2785","238","12","5",,,"35","210","Industrial","No","150"