Product or Part number,VDS (V),PDF data sheet,HTML data sheet,VGS (V),Type,Configuration,Rds(on) at VGS=10 V (max) (mΩ),Rds(on) at VGS=4.5 V (max) (mΩ),ID - silicon limited at TC=25°C (A),ID - continuous drain current at TA=25°C (A),Power loss (W),Ploss current (A),Features,Operating temperature range (°C),Package type,Pin count,Package area (mm^2),Package size (L x W) (mm),Price|Quantity (USD),Status
"=HYPERLINK(""https://www.ti.com/product/CSD19533Q5A"", ""CSD19533Q5A"")",100,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD19533Q5A"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD19533Q5A/datasheet"", ""HTML data sheet"")",20,N-channel,Single,9.5,,75,,,,,-55 to 150,VSONP,8,29.4,4.9 x 6,0.409,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD25402Q3A"", ""CSD25402Q3A"")",-20,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD25402Q3A"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD25402Q3A/datasheet"", ""HTML data sheet"")",-12,P-channel,Single,,8.9,-72,,,,,-55 to 150,VSONP,8,10.89,3.3 x 3.3,0.217,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD19503KCS"", ""CSD19503KCS"")",80,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD19503KCS"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD19503KCS/datasheet"", ""HTML data sheet"")",20,N-channel,Single,9.2,,94,,,,,-55 to 175,TO-220,3,46.228,10.16 x 4.55,0.509,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD19502Q5B"", ""CSD19502Q5B"")",80,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD19502Q5B"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD19502Q5B/datasheet"", ""HTML data sheet"")",20,N-channel,Single,4.1,,157,,,,,-55 to 150,VSON-CLIP,8,30,6 x 5,0.736,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD19532Q5B"", ""CSD19532Q5B"")",100,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD19532Q5B"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD19532Q5B/datasheet"", ""HTML data sheet"")",20,N-channel,Single,4.9,,140,,,,,-55 to 150,VSON-CLIP,8,30,6 x 5,0.768,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD85312Q3E"", ""CSD85312Q3E"")",20,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD85312Q3E"", ""PDF data sheet"")",-,10,N-channel,Dual Common Source,,14,39,,,,,-55 to 150,VSON,8,10.89,3.3 x 3.3,0.31,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD17571Q2"", ""CSD17571Q2"")",30,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD17571Q2"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD17571Q2/datasheet"", ""HTML data sheet"")",20,N-channel,Single,24,29,7.6,,,,,-55 to 150,WSON,6,4,2 x 2,0.082,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD23381F4"", ""CSD23381F4"")",-12,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD23381F4"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD23381F4/datasheet"", ""HTML data sheet"")",-8,P-channel,Single,,175,2.3,,,,,-55 to 150,PICOSTAR,3,0.657225,1.035 x 0.635,0.035,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD25483F4"", ""CSD25483F4"")",-20,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD25483F4"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD25483F4/datasheet"", ""HTML data sheet"")",-12,P-channel,Single,,245,1.6,,,,,-55 to 150,PICOSTAR,3,0.657225,1.035 x 0.635,0.035,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD13202Q2"", ""CSD13202Q2"")",12,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD13202Q2"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD13202Q2/datasheet"", ""HTML data sheet"")",8,N-channel,Single,,9.3,14.4,,,,,-55 to 150,WSON,6,4,2 x 2,0.089,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD87384M"", ""CSD87384M"")",30,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD87384M"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD87384M/datasheet"", ""HTML data sheet"")",10,Power block,PowerBlock,,,,30,3.7,25,Power supply,-55 to 150,PTAB,5,17.5,5 x 3.5,0.558,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD25481F4"", ""CSD25481F4"")",-20,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD25481F4"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD25481F4/datasheet"", ""HTML data sheet"")",-12,P-channel,Single,,105,2.5,,,,,-55 to 150,PICOSTAR,3,0.657225,1.035 x 0.635,0.048,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD13381F4"", ""CSD13381F4"")",12,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD13381F4"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD13381F4/datasheet"", ""HTML data sheet"")",8,N-channel,Single,,180,2.1,,,,,-55 to 150,PICOSTAR,3,0.657225,1.035 x 0.635,0.034,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD17483F4"", ""CSD17483F4"")",30,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD17483F4"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD17483F4/datasheet"", ""HTML data sheet"")",12,N-channel,Single,230,260,1.5,,,,,-55 to 150,PICOSTAR,3,0.657225,1.035 x 0.635,0.035,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD19531KCS"", ""CSD19531KCS"")",100,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD19531KCS"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD19531KCS/datasheet"", ""HTML data sheet"")",20,N-channel,Single,7.7,,110,,,,,-55 to 175,TO-220,3,46.228,10.16 x 4.55,0.623,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD19531Q5A"", ""CSD19531Q5A"")",100,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD19531Q5A"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD19531Q5A/datasheet"", ""HTML data sheet"")",20,N-channel,Single,6.4,,110,,,,,-55 to 150,VSONP,8,29.4,4.9 x 6,0.518,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD15571Q2"", ""CSD15571Q2"")",20,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD15571Q2"", ""PDF data sheet"")",-,20,N-channel,Single,15,19.2,10,,,,,-55 to 150,WSON,6,4,2 x 2,0.082,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD13303W1015"", ""CSD13303W1015"")",12,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD13303W1015"", ""PDF data sheet"")",-,8,N-channel,Single,,20,3.5,,,,,-55 to 150,DSBGA,6,2.1875,1.75 x 1.25,0.104,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD18563Q5A"", ""CSD18563Q5A"")",60,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD18563Q5A"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD18563Q5A/datasheet"", ""HTML data sheet"")",20,N-channel,Single,6.8,10.8,93,,,,,-55 to 150,VSONP,8,29.4,4.9 x 6,0.336,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD75207W15"", ""CSD75207W15"")",-20,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD75207W15"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD75207W15/datasheet"", ""HTML data sheet"")",-6,P-channel,Dual Common Source,,27,3.9,,,,,-55 to 150,DSBGA,9,3.0625,1.75 x 1.75,0.15,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD22202W15"", ""CSD22202W15"")",-8,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD22202W15"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD22202W15/datasheet"", ""HTML data sheet"")",-6,P-channel,Single,,12.2,10,,,,,-55 to 150,DSBGA,9,3.0625,1.75 x 1.75,0.143,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD25213W10"", ""CSD25213W10"")",-20,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD25213W10"", ""PDF data sheet"")",-,-6,P-channel,Single,,47,1.6,,,,,-55 to 150,DSBGA,4,1.5625,1.25 x 1.25,0.066,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD18537NKCS"", ""CSD18537NKCS"")",60,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD18537NKCS"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD18537NKCS/datasheet"", ""HTML data sheet"")",20,N-channel,Single,14,,56,,,,,-55 to 175,TO-220,3,46.228,10.16 x 4.55,0.336,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD18537NQ5A"", ""CSD18537NQ5A"")",60,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD18537NQ5A"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD18537NQ5A/datasheet"", ""HTML data sheet"")",20,N-channel,Single,13,,54,,,,,-55 to 150,VSONP,8,29.4,4.9 x 6,0.24,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD18532NQ5B"", ""CSD18532NQ5B"")",60,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD18532NQ5B"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD18532NQ5B/datasheet"", ""HTML data sheet"")",20,N-channel,Single,3.4,,163,,,,,-55 to 150,VSON-CLIP,8,30,6 x 5,0.727,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD87381P"", ""CSD87381P"")",30,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD87381P"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD87381P/datasheet"", ""HTML data sheet"")",10,Power block,PowerBlock,,,,15,1,8,Power supply,-55 to 150,PTAB,5,7.5,3 x 2.5,0.265,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD17381F4"", ""CSD17381F4"")",30,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD17381F4"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD17381F4/datasheet"", ""HTML data sheet"")",12,N-channel,Single,109,117,3.1,,,,,-55 to 150,PICOSTAR,3,0.657225,1.035 x 0.635,0.045,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD87588N"", ""CSD87588N"")",30,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD87588N"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD87588N/datasheet"", ""HTML data sheet"")",20,Power block,PowerBlock,,,,25,2.1,15,Power supply,-55 to 150,PTAB,5,12.5,5 x 2.5,0.407,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD17556Q5B"", ""CSD17556Q5B"")",30,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD17556Q5B"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD17556Q5B/datasheet"", ""HTML data sheet"")",20,N-channel,Single,1.4,1.8,215,,,,,-55 to 150,VSON-CLIP,8,30,6 x 5,0.768,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD87351ZQ5D"", ""CSD87351ZQ5D"")",30,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD87351ZQ5D"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD87351ZQ5D/datasheet"", ""HTML data sheet"")",10,Power block,PowerBlock,,,,32,2.5,20,Power supply,-55 to 150,LSON-CLIP,8,30,5 x 6,0.697,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD16556Q5B"", ""CSD16556Q5B"")",25,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD16556Q5B"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD16556Q5B/datasheet"", ""HTML data sheet"")",20,N-channel,Single,1.07,1.5,263,,,,,-55 to 150,VSON-CLIP,8,30,6 x 5,0.75,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD18502Q5B"", ""CSD18502Q5B"")",40,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD18502Q5B"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD18502Q5B/datasheet"", ""HTML data sheet"")",20,N-channel,Single,2.3,3.3,204,,,,,-55 to 150,VSON-CLIP,8,30,6 x 5,0.841,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD18532Q5B"", ""CSD18532Q5B"")",60,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD18532Q5B"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD18532Q5B/datasheet"", ""HTML data sheet"")",20,N-channel,Single,3.2,4.3,172,,,,,-55 to 150,VSON-CLIP,8,30,6 x 5,0.73,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD17552Q5A"", ""CSD17552Q5A"")",30,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD17552Q5A"", ""PDF data sheet"")",-,20,N-channel,Single,6.2,7.5,88,,,,,-55 to 150,VSONP,8,29.4,4.9 x 6,0.299,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD17559Q5"", ""CSD17559Q5"")",30,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD17559Q5"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD17559Q5/datasheet"", ""HTML data sheet"")",20,N-channel,Single,1.15,1.5,257,,,,,-55 to 150,VSON-CLIP,8,30,6 x 5,0.905,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD18504KCS"", ""CSD18504KCS"")",40,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD18504KCS"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD18504KCS/datasheet"", ""HTML data sheet"")",20,N-channel,Single,7,10,89,,,,,-55 to 175,TO-220,3,46.228,10.16 x 4.55,0.446,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD18534Q5A"", ""CSD18534Q5A"")",60,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD18534Q5A"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD18534Q5A/datasheet"", ""HTML data sheet"")",20,N-channel,Single,9.8,12.4,69,,,,,-55 to 150,VSONP,8,29.4,4.9 x 6,0.282,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD87312Q3E"", ""CSD87312Q3E"")",30,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD87312Q3E"", ""PDF data sheet"")",-,10,N-channel,Dual Common Source,,38,27,,,,,-55 to 150,VSON,8,10.89,3.3 x 3.3,0.43,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD17552Q3A"", ""CSD17552Q3A"")",30,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD17552Q3A"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD17552Q3A/datasheet"", ""HTML data sheet"")",20,N-channel,Single,6,8.1,74,,,,,-55 to 150,VSONP,8,10.89,3.3 x 3.3,0.279,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD18503KCS"", ""CSD18503KCS"")",40,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD18503KCS"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD18503KCS/datasheet"", ""HTML data sheet"")",20,N-channel,Single,4.5,6.8,142,,,,,-55 to 175,TO-220,3,46.228,10.16 x 4.55,0.575,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD17551Q3A"", ""CSD17551Q3A"")",30,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD17551Q3A"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD17551Q3A/datasheet"", ""HTML data sheet"")",20,N-channel,Single,9,11.8,48,,,,,-55 to 150,VSONP,8,10.89,3.3 x 3.3,0.19,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD18533KCS"", ""CSD18533KCS"")",60,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD18533KCS"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD18533KCS/datasheet"", ""HTML data sheet"")",20,N-channel,Single,6.3,9,118,,,,,-55 to 175,TO-220,3,46.228,10.16 x 4.55,0.507,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD18533Q5A"", ""CSD18533Q5A"")",60,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD18533Q5A"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD18533Q5A/datasheet"", ""HTML data sheet"")",20,N-channel,Single,5.9,8.5,103,,,,,-55 to 150,VSONP,8,29.4,4.9 x 6,0.327,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD18534KCS"", ""CSD18534KCS"")",60,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD18534KCS"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD18534KCS/datasheet"", ""HTML data sheet"")",20,N-channel,Single,9.5,13.3,73,,,,,-55 to 175,TO-220,3,46.228,10.16 x 4.55,0.384,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD86360Q5D"", ""CSD86360Q5D"")",25,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD86360Q5D"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD86360Q5D/datasheet"", ""HTML data sheet"")",10,Power block,PowerBlock,,,,50,2.6,25,Power supply,-55 to 150,LSON-CLIP,8,30,5 x 6,0.811,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD18502KCS"", ""CSD18502KCS"")",40,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD18502KCS"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD18502KCS/datasheet"", ""HTML data sheet"")",20,N-channel,Single,2.9,4.3,212,,,,,-55 to 175,TO-220,3,46.228,10.16 x 4.55,0.811,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD18532KCS"", ""CSD18532KCS"")",60,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD18532KCS"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD18532KCS/datasheet"", ""HTML data sheet"")",20,N-channel,Single,4.2,5.3,169,,,,,-55 to 175,TO-220,3,46.228,10.16 x 4.55,0.7,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD17555Q5A"", ""CSD17555Q5A"")",30,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD17555Q5A"", ""PDF data sheet"")",-,20,N-channel,Single,2.7,3.4,116,,,,,-55 to 150,VSONP,8,29.4,4.9 x 6,0.516,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD17551Q5A"", ""CSD17551Q5A"")",30,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD17551Q5A"", ""PDF data sheet"")",-,20,N-channel,Single,8.8,11,48,,,,,-55 to 150,VSONP,8,29.4,4.9 x 6,0.26,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD18501Q5A"", ""CSD18501Q5A"")",40,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD18501Q5A"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD18501Q5A/datasheet"", ""HTML data sheet"")",20,N-channel,Single,3.2,4.3,161,,,,,-55 to 150,VSONP,8,29.4,4.9 x 6,0.585,ACTIVE
